trial_id,scene_id,scene_seed,planner,trial_seed,failure_category,failure_category_cn,message,q_snapshot,ee_x,ee_y,ee_z,ee_error,min_obstacle_distance,min_ground_clearance
27,scene_02_multi_obstacles,20260527,apf,23069,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
28,scene_02_multi_obstacles,20260527,apf,23070,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
29,scene_02_multi_obstacles,20260527,apf,23071,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
30,scene_02_multi_obstacles,20260527,apf,23072,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
31,scene_02_multi_obstacles,20260527,apf,23073,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
32,scene_02_multi_obstacles,20260527,apf,23074,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
33,scene_02_multi_obstacles,20260527,apf,23075,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
34,scene_02_multi_obstacles,20260527,apf,23076,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
35,scene_02_multi_obstacles,20260527,apf,23077,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
36,scene_02_multi_obstacles,20260527,apf,23078,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
37,scene_02_multi_obstacles,20260527,apf,23079,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
38,scene_02_multi_obstacles,20260527,apf,23080,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
39,scene_02_multi_obstacles,20260527,apf,23081,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
40,scene_02_multi_obstacles,20260527,apf,23082,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
41,scene_02_multi_obstacles,20260527,apf,23083,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
42,scene_02_multi_obstacles,20260527,apf,23084,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
43,scene_02_multi_obstacles,20260527,apf,23085,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
44,scene_02_multi_obstacles,20260527,apf,23086,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
45,scene_02_multi_obstacles,20260527,apf,23087,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
46,scene_02_multi_obstacles,20260527,apf,23088,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
47,scene_02_multi_obstacles,20260527,apf,23089,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
48,scene_02_multi_obstacles,20260527,apf,23090,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
49,scene_02_multi_obstacles,20260527,apf,23091,iteration_limit,迭代上限,max iterations reached,"[-2.9441322,-1.5993567,1.7079454,-2.1116667,-3.2692452,0.058518923]",0.4471952131835182,0.12497280323191884,0.5987974344786094,0.4229129714448529,0.13981719173347032,0.0030000000000000027
24,scene_03_narrow_passage,20260528,rrt,30066,iteration_limit,迭代上限,max iterations reached,"[-2.9771038,-1.5928383,1.4326469,-1.2954472,1.1661336,0.29523214]",0.4525445197537863,0.25086025617245555,0.7302479202535573,0.41410941713644767,0.005749726688620192,0.0030000000000000027
33,scene_03_narrow_passage,20260528,rrt,30075,iteration_limit,迭代上限,max iterations reached,"[-2.6754175,-1.3230799,1.5806234,-1.1922655,0.6288016,-0.015123556]",0.43820044579167755,0.4610268150692004,0.4630928004584811,0.47817451099218194,0.03518213359686579,0.0030000000000000304
47,scene_03_narrow_passage,20260528,rrt,30089,iteration_limit,迭代上限,max iterations reached,"[-2.7196671,-1.1540168,1.4782676,-0.96558673,0.62434035,0.10684407]",0.5051572850897138,0.46257248473372015,0.38157089498022984,0.4597875940305046,0.0014165704726119485,0.0030000000000000027
0,scene_03_narrow_passage,20260528,apf,33042,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
1,scene_03_narrow_passage,20260528,apf,33043,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
2,scene_03_narrow_passage,20260528,apf,33044,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
3,scene_03_narrow_passage,20260528,apf,33045,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
4,scene_03_narrow_passage,20260528,apf,33046,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
5,scene_03_narrow_passage,20260528,apf,33047,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
6,scene_03_narrow_passage,20260528,apf,33048,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
7,scene_03_narrow_passage,20260528,apf,33049,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
8,scene_03_narrow_passage,20260528,apf,33050,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
