scene_id,planner,success_rate,success_ci95,failure_rate,planning_time_mean,planning_time_std,planning_time_p50,planning_time_p90,path_length_joint_mean,path_length_joint_p50,path_length_joint_p90,path_length_task_mean,path_length_task_p50,path_length_task_p90,smoothness_mean,smoothness_p50,smoothness_p90,min_obstacle_distance_mean,min_obstacle_distance_p10,min_obstacle_distance_p50,min_ground_clearance_mean,min_ground_clearance_p10,collision_checks_mean,collision_checks_p90,final_error_mean,final_error_p90,final_orientation_error_mean,final_orientation_error_p90,num_waypoints_mean,message,failure_category_cn,safety_margin_mean,composite_score,composite_rank
scene_03_narrow_passage,rrt_connect,1.0,0.0,0.0,0.00614550336016686,0.002406709514083692,0.0051786045005428,0.008950162099790713,3.4548656265640716,3.3381499221632476,3.8903615932446494,1.0949154065110236,1.0593040124997808,1.2039229944587828,0.3620891760634398,0.0175559024819658,0.4218028795260223,0.016336426028151566,0.004475483662672991,0.01821249914447625,0.00299999999999991,0.0029999999999999,111.32,165.90000000000003,1.3563614327620305e-09,1.3563615191714746e-09,0.0,0.0,72.3,success,成功,0.016336426028151566,0.8562014920275965,1.0
scene_03_narrow_passage,rrt,0.94,0.06582799404508695,0.06000000000000005,0.0747748706999118,0.2417208264377198,0.0114398459991207,0.041563555398170145,3.1693228991303766,3.343271097004355,3.4195035640053244,1.0815702674038745,1.078115102701984,1.131920644857429,0.02199285628145057,0.0194966693356656,0.034010133539029354,0.016362743769243668,0.005958608167354681,0.0171827122498468,0.0029999999999999146,0.0029999999999999,593.16,615.2000000000002,1.356361468587662e-09,1.3563615295690946e-09,0.0,0.0,75.2,success,成功,0.016362743769243668,0.8460553757136028,2.0
scene_03_narrow_passage,prm,1.0,0.0,0.0,5.11372933068109,0.14880156898370667,5.130985566502204,5.272695828005089,8.406916331540447,8.326426412571783,10.569199578471949,2.335525231392798,1.9897661934981374,4.117049114359342,0.8999082258094692,0.28788030917818513,0.4694556659933668,0.021273453154833755,0.0117591743438989,0.025592668323389,0.0029999999999999138,0.0029999999999999,109799.42,113721.9,1.356361436045265e-09,1.3563615329516007e-09,0.0,0.0,73.84,success,成功,0.021273453154833755,0.5654787661874686,3.0
scene_03_narrow_passage,apf,0.0,0.0,1.0,0.9183673726803682,0.017395730012360104,0.9129261595007848,0.9374514381015616,72.0000000000018,72.0000000000018,72.0000000000018,51.61892421333635,51.61892421333635,51.61892421333635,139.3443358934599,139.3443358934599,139.3443358934599,0.1375006630131825,0.1375006630131825,0.1375006630131825,0.0029999999999999,0.0029999999999999,3202.0,3202.0,0.5700096109923453,0.5700096109923453,0.0,0.0,1601.0,max iterations reached,迭代上限,0.1375006630131825,0.39903165230597953,4.0
scene_04_near_singularity,rrt_connect,1.0,0.0,0.0,0.004716172599873922,0.0006054731827142889,0.00456189400210855,0.00499641880014678,3.8326388960254376,3.8326388960254376,3.8326388960254376,1.3161699691995137,1.3161699691995137,1.3161699691995137,4.093492666483292e-14,4.093492666483292e-14,4.093492666483292e-14,0.0199317547293881,0.0199317547293881,0.0199317547293881,0.0029999999999999,0.0029999999999999,99.52,102.0,2.212113038394986e-13,2.212113038394986e-13,0.0,0.0,80.0,success,成功,0.0199317547293881,0.8569823976941393,1.0
scene_04_near_singularity,rrt,0.98,0.03880602015151774,0.020000000000000018,0.04727733686115238,0.18205093107169928,0.009494512003584449,0.017514725504588494,3.755986118104929,3.8326388960254376,3.8326388960254376,1.3161699691995137,1.3161699691995137,1.3161699691995137,4.011622813153626e-14,4.093492666483292e-14,4.093492666483292e-14,0.0199317547293881,0.0199317547293881,0.0199317547293881,0.0029999999999999003,0.0029999999999999,435.2,340.90000000000003,2.212113038394986e-13,2.212113038394986e-13,0.0,0.0,78.4,success,成功,0.0199317547293881,0.8525594823453273,2.0
scene_04_near_singularity,prm,1.0,0.0,0.0,4.596922004080552,0.16658469541879783,4.598400906997995,4.736249423804838,3.8326388960254376,3.8326388960254376,3.8326388960254376,1.3161699691995137,1.3161699691995137,1.3161699691995137,4.093492666483292e-14,4.093492666483292e-14,4.093492666483292e-14,0.0199317547293881,0.0199317547293881,0.0199317547293881,0.0029999999999999,0.0029999999999999,119325.54,123560.1,2.212113038394986e-13,2.212113038394986e-13,0.0,0.0,80.0,success,成功,0.0199317547293881,0.5712681119798535,3.0
scene_04_near_singularity,apf,0.0,0.0,1.0,0.6887474901998939,0.006006029798524747,0.6873377135016199,0.6938179939978,72.00000000000192,72.00000000000192,72.00000000000192,66.57924259812347,66.57924259812347,66.57924259812347,136.36157432446163,136.36157432446163,136.36157432446163,0.19120362780346534,0.1912036278034653,0.1912036278034653,0.0029999999999999,0.0029999999999999,3202.0,3202.0,0.3170983050963901,0.3170983050963901,0.0,0.0,1601.0,max iterations reached,迭代上限,0.19120362780346534,0.4035747594807632,4.0
scene_05_mixed_maze_passage,rrt_connect,1.0,0.0,0.0,0.010020507920125916,0.000494877196701937,0.009947496495442399,0.01054074119820137,3.2969141550390693,3.296914155039069,3.296914155039069,0.956235013267063,0.9562350132670628,0.9562350132670628,3.589954722622577e-14,3.589954722622577e-14,3.589954722622577e-14,0.0,0.0,0.0,0.0029999999999999,0.0029999999999999,86.2,87.0,1.3017433210102566e-11,1.3017433210102566e-11,0.0,0.0,80.0,success,成功,0.0,1.0,1.0
scene_05_mixed_maze_passage,rrt,1.0,0.0,0.0,0.01850760658024224,0.0042744738977417585,0.0177597770016291,0.023960790400451504,3.2969141550390693,3.296914155039069,3.296914155039069,0.956235013267063,0.9562350132670628,0.9562350132670628,3.589954722622577e-14,3.589954722622577e-14,3.589954722622577e-14,0.0,0.0,0.0,0.0029999999999999,0.0029999999999999,158.16,194.70000000000005,1.3017433210102566e-11,1.3017433210102566e-11,0.0,0.0,80.0,success,成功,0.0,0.9997993444340942,2.0
scene_05_mixed_maze_passage,prm,1.0,0.0,0.0,11.432743864420045,0.39799599605114444,11.504142062003666,11.817249185001128,3.2969141550390693,3.296914155039069,3.296914155039069,0.956235013267063,0.9562350132670628,0.9562350132670628,3.589954722622577e-14,3.589954722622577e-14,3.589954722622577e-14,0.0,0.0,0.0,0.0029999999999999,0.0029999999999999,108854.86,113140.0,1.3017433210102566e-11,1.3017433210102566e-11,0.0,0.0,80.0,success,成功,0.0,0.7142857142857143,3.0
scene_05_mixed_maze_passage,apf,0.0,0.0,1.0,2.41348669408093,0.10919931864000962,2.3760634050013323,2.4656053544960743,72.0000000000017,72.0000000000017,72.0000000000017,41.74839218769373,41.74839218769373,41.74839218769373,138.27203762135304,138.27203762135304,138.27203762135304,0.0,0.0,0.0,0.0029999999999999,0.0029999999999999,3202.0,3202.0,0.17708261022094318,0.1770826102209432,0.0,0.0,1601.0,max iterations reached,迭代上限,0.0,0.3944204172702884,4.0
scene_pass_through_maze,rrt_connect,1.0,0.0,0.0,0.02920620105986013,0.02138368303260745,0.019327173999045003,0.05732639529887814,4.3681135726560125,4.248233180516612,4.8651083464468705,1.0044714411243745,0.9954651325145956,1.0335296578562763,0.48718962759732676,0.03002672376656955,2.365299006437572,0.001198994001142582,0.0012725997748017,0.0012725997748018,0.002999999999999916,0.0029999999999999,226.66,441.20000000000005,2.396166961599158e-13,2.3967870641597376e-13,0.0,0.0,69.22,success,成功,0.001198994001142582,0.8510366522009012,1.0
scene_pass_through_maze,rrt,0.38,0.13454225804556721,0.62,0.9238313647397445,0.5942626815553054,1.2658026590033842,1.4398106029977498,1.605128047873263,0.0,4.2325856264348145,1.0074113995903924,1.0055165727365964,1.037022669268766,0.008480946238652682,0.0,0.02518642431989658,0.001272599774801837,0.0012725997748018,0.0012725997748018,0.0029999999999999,0.0029999999999999,4160.64,6752.000000000001,2.3960930655243153e-13,2.396631532113156e-13,0.0,0.0,30.4,max iterations reached,迭代上限,0.001272599774801837,0.7498260180200897,2.0
scene_pass_through_maze,prm,0.86,0.09617989810766073,0.14,10.39408335947941,1.0449278721998687,10.134865580999758,11.747969619397919,8.27322204853988,8.518163489131542,11.969352465779641,1.5686654214148732,1.4293347776081575,2.089518047123146,3.6656595217234837,0.3409292981991426,10.821316309029056,0.0012430044312017768,0.0012725997748018,0.0012725997748018,0.0029999999999999467,0.0029999999999999,86779.96,91236.4,2.396050543766368e-13,2.396472616366276e-13,0.0,0.0,41.12,success,成功,0.0012430044312017768,0.5341303807377534,3.0
scene_pass_through_maze,apf,0.0,0.0,1.0,2.6715868315199622,0.09695251031701256,2.645524445004412,2.716825092201179,72.00000000000188,72.00000000000188,72.00000000000188,34.65651640828223,34.65651640828223,34.65651640828223,137.0320822222641,137.0320822222641,137.0320822222641,0.1358098956458758,0.1358098956458758,0.1358098956458758,0.0029999999999999,0.0029999999999999,3202.0,3202.0,0.5654409923835508,0.5654409923835508,0.9566197088925832,0.9566197088925832,1601.0,max iterations reached,迭代上限,0.1358098956458758,0.3872411654286592,4.0
