trial_id,global_seed,scene_id,scene_seed,planner,trial_seed,success,planning_time,path_length_joint,path_length_task,smoothness,min_obstacle_distance,min_ground_clearance,collision_checks,num_waypoints,final_error,final_orientation_error,q_start,q_goal,target_position,target_quat_wxyz,message,failure_category,failure_category_cn
32,42,scene_00_no_obstacle,20260525,rrt,74,True,0.0051946720013802405,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,162,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
33,42,scene_00_no_obstacle,20260525,rrt,75,True,0.005561954003496794,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,166,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
34,42,scene_00_no_obstacle,20260525,rrt,76,True,0.00425008799720672,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,129,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
35,42,scene_00_no_obstacle,20260525,rrt,77,True,0.005338438000762835,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,165,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
36,42,scene_00_no_obstacle,20260525,rrt,78,True,0.005059795999841299,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,155,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
37,42,scene_00_no_obstacle,20260525,rrt,79,True,0.0055310160023509525,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,159,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
38,42,scene_00_no_obstacle,20260525,rrt,80,True,0.005040170999563998,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,154,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
39,42,scene_00_no_obstacle,20260525,rrt,81,True,0.004679932997532887,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,135,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
40,42,scene_00_no_obstacle,20260525,rrt,82,True,0.0061942510001244955,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,174,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
41,42,scene_00_no_obstacle,20260525,rrt,83,True,0.004386417000205256,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,135,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
42,42,scene_00_no_obstacle,20260525,rrt,84,True,0.005459952000819612,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,164,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
43,42,scene_00_no_obstacle,20260525,rrt,85,True,0.0047082840028451756,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,139,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
44,42,scene_00_no_obstacle,20260525,rrt,86,True,0.005551524001930375,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,164,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
45,42,scene_00_no_obstacle,20260525,rrt,87,True,0.005679896003130125,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,174,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
46,42,scene_00_no_obstacle,20260525,rrt,88,True,0.005689386998710688,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,175,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
47,42,scene_00_no_obstacle,20260525,rrt,89,True,0.005318019997503143,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,161,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
48,42,scene_00_no_obstacle,20260525,rrt,90,True,0.007993301998794777,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,156,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
