scene_id,ik_method,success_rate,success_ci95,error_mean,error_std,error_p50,error_p90,solve_time_mean,solve_time_std,solve_time_p50,solve_time_p90,iterations_mean,condition_number_mean,condition_number_p50,condition_number_p90,condition_number_max
scene_04_near_singularity,dls,1.0,0.0,0.008557346647084024,0.0012035743924272624,0.0083645341238739,0.010024797340145029,0.000834606179996574,0.00021956195649166764,0.00075550250039665,0.0010349662999942402,16.02,4.333723971963501,4.332808011115104,4.357925527168773,4.408999681593969
scene_04_near_singularity,lm,1.0,0.0,0.009113139652869428,0.0014081103133416837,0.00892664416008085,0.011243060849216181,0.000772356880261162,7.601269615196399e-05,0.0007443850008712,0.0008588190994487099,16.02,4.321453607526319,4.322354396713978,4.352517361935726,4.386965372871758
scene_04_near_singularity,pinv,1.0,0.0,0.00731666818273095,0.001718169834053071,0.0074582982452838995,0.00929467340834021,0.00142066006032105,0.0005651073125091535,0.00124019550094085,0.0019891271997039004,16.02,4.367202643532128,4.367429691617424,4.396098791888023,4.443486752987662
scene_04_near_singularity,scipy_baseline,1.0,0.0,3.626161156302714e-09,4.938704265902523e-09,1.226312831907343e-09,1.0779530346272047e-08,0.005926444959914032,0.0012390493365825048,0.0060583089980354495,0.00746801440000119,29.68,5.285094210614313,5.046696143542584,6.556480836288157,6.981140483937644
scene_05_mixed_maze_passage,dls,1.0,0.0,0.00850284409382581,0.0015532891422695727,0.008389812313937501,0.01023850823492981,0.00067933113998147,0.00013394852664274872,0.0006330689993773501,0.00075106289768879,13.04,2.396348537224401,2.396120666581764,2.406550920459309,2.410662719895239
scene_05_mixed_maze_passage,lm,1.0,0.0,0.008769742175028086,0.0018139963277602194,0.00863698517590015,0.0110746666454083,0.00074111608002562,0.00034090313464890795,0.0006547395005327,0.000836255300237,13.08,2.395087390609103,2.3943002478572764,2.4050269956806942,2.420788406143497
scene_05_mixed_maze_passage,pinv,1.0,0.0,0.007662537823332079,0.0014330237911346657,0.0077647179064353495,0.0092733133721281,0.000914558220392746,8.684306755874615e-05,0.00088089599921655,0.00104570139774293,13.02,2.4010717286741556,2.4003297208193795,2.4091567970232526,2.424995605872107
scene_05_mixed_maze_passage,scipy_baseline,1.0,0.0,2.6474633949521797e-09,3.3143180739488226e-09,1.467883099361395e-09,6.82198690327454e-09,0.006376793160379694,0.0016265901995104642,0.006046432001312449,0.007746016297460211,30.16,2.6286330463736944,2.5396598204805896,2.815849784649459,3.972900873893429
scene_pass_through_maze,dls,1.0,0.0,0.008576264801465118,0.0022290280237611507,0.008202081074187049,0.011318035661628811,0.0022591781603113702,8.003431118232031e-05,0.002243280499897,0.0023319952997553,30.5,3.2754220280375064,3.2794290777514457,3.309274700962737,3.311251606630529
scene_pass_through_maze,lm,1.0,0.0,0.0077820026758481375,0.001979401127574726,0.0070674136358807,0.0108888974355304,0.0024075697199441,0.00035558591751360877,0.0023207065005408003,0.00250497559936767,30.88,3.2865523117791047,3.293475668731698,3.3067687733790225,3.3084176006604165
scene_pass_through_maze,pinv,1.0,0.0,0.007870470503192055,0.002389926939589217,0.00746328176704745,0.01129894710775002,0.002948553459864288,0.0007697900906242911,0.0027667689992085503,0.00330228270067884,29.52,3.278249833840953,3.282615773943526,3.31152723530401,3.317549373566939
scene_pass_through_maze,scipy_baseline,1.0,0.0,5.267974108804569e-13,7.428953734401426e-13,2.4948342308294786e-13,1.081455324635479e-12,0.0047023366197390245,0.0007893881356449218,0.00448434949794315,0.00527435599942685,11.0,2.9554960024982218,2.9554960024995607,2.955496002500587,2.9554960025007686
