scene_id,planner,trial_id,max_speed,mean_speed,max_acc,mean_acc,max_jerk,mean_jerk
scene_00_no_obstacle,prm,40,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,41,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,42,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,43,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,44,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,45,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,46,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,47,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,48,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,prm,49,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,0,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,1,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,2,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,3,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,4,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,5,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,6,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,7,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,8,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,9,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,10,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,11,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,12,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
